,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
37,Sistema,Sistema,5824341.04,5626107.56,5528440.53,5538896.54,5804043.89,6403961.72,6493912.26,6773451.64,7290023.24,7581493.55,7867334.88,8188450.95,7983047.85,7894612.83,8007568.24,8026819.97,8003352.83,8333858.17,8997583.68,8869734.24,8453742.6,7798462.52,6929019.72,6138090.84,2013-11-07
38,Sistema,Sistema,5830831.6,5666164.6,5569797.59,5514989.82,5793438.62,6362072.62,6559500.11,6950712.15,7448188.5,7723906.31,7964490.77,8256032.28,8141049.47,8079187.57,8150828.22,8147721.55,8048940.04,8280417.23,9052841.04,8883166.48,8484838.95,7891225.79,7177710.34,6515142.8,2013-11-08
39,Sistema,Sistema,6072289.26,5860045.46,5674989.06,5595004.23,5727451.18,5920935.35,6077757.64,6652344.11,7201321.92,7459775.95,7779823.44,7967535.84,7844032.5,7650722.34,7480123.2,7336424.71,7242490.37,7556435.06,8390164.1,8310477.11,8014122.93,7456071.5,6850510.51,6286307.28,2013-11-09
40,Sistema,Sistema,5901699.45,5571950.57,5470705.16,5318387.12,5316604.13,5346925.11,5231933.6,5487924.5,5892876.76,6170706.11,6403976.28,6573128.55,6644644.21,6565792.83,6368565.8,6295110.37,6237891.11,6505913.94,7523842.67,7557188.45,7376067.26,6979609.74,6451506.32,6019775.47,2013-11-10
41,Sistema,Sistema,5741584.46,5515167.05,5341621.86,5244295.05,5254945.36,5310049.39,5202588.42,5499030.26,5990460.54,6432620.65,6784097.56,7164631.19,7216889.96,7121057.54,6964477.38,6842889.42,6719900.02,7149251.35,8223180.38,8295778.46,8021589.44,7556215.11,6867185.26,6136358.41,2013-11-11
42,Sistema,Sistema,5891193.65,5753088.86,5637877.22,5612108.48,5882299.28,6483376.84,6680905.45,7091147.25,7575673.28,7899012.19,8237358.78,8481710.92,8212145.28,8193096.33,8321256.82,8352842.01,8292087.52,8482663.63,9208174.15,9067834.26,8692665.84,8042361.63,7177154.91,6449175.6,2013-11-12
43,Sistema,Sistema,6128371.76,5958831.05,5854491.33,5830619.98,6051936.55,6672638.43,6897523.25,7173616.09,7619791.16,7885131.62,8209652.61,8543636.93,8321429.93,8306049.22,8380708.56,8259787.57,8239532.33,8580175.12,9334979.99,9217764.59,8861756.31,8204828.99,7314262.85,6443000.89,2013-11-13
44,Sistema,Sistema,6128986.66,5992223.26,5819435.33,5792829.26,6030194.34,6623576.81,6810224.22,7070201.93,7545508.74,7803611.06,8163485.53,8375940.12,8109612.92,8135588.47,8314615.21,8352109.93,8313130.59,8489229.74,9189286.63,9032959.59,8672838.3,8148113.17,7280961.86,6598388.6,2013-11-14
45,Sistema,Sistema,6192252.6,6013355.56,5910205.06,5875692.19,6100265.39,6650778.75,6911903.5,7267652.09,7754154.61,7961835.93,8208429.93,8497026.11,8285090.1,8233719.66,8382023.11,8399790.45,8335196.51,8351107.65,9150750.43,9023493.14,8678769.92,8118093.69,7364214.87,6609278.68,2013-11-15
46,Sistema,Sistema,6346153.97,6174358.7,6024203.01,5976447.49,5988058.43,5958088.11,6128981.51,6661717.65,7258971.2,7646321.23,7912571.12,8056311.07,7981483.29,7740321.77,7562087.74,7497093.58,7382112.14,7709242.94,8650055.75,8544057.84,8266048.71,7743577.51,7091594.1,6499329.12,2013-11-16
47,Sistema,Sistema,6068352.47,5793600.72,5596804.52,5476956.18,5452211.42,5364396.68,5292973.89,5652334.71,6056816.25,6359235.14,6617502.06,6830523.72,6863406.69,6815853.92,6648341.92,6520371.56,6472917.54,6938496.77,7953641.9,8047362.8,7924513.56,7433562.94,6996734.1,6398092.22,2013-11-17
48,Sistema,Sistema,5975182.96,5798577.33,5667239.02,5615752.72,5848814.67,6406508.61,6714121.04,7199443.9,7683388.82,7914084.07,8157227.63,8406586.57,8248170.02,8171656.27,8251750.44,8241256.95,8230258.23,8538939.84,9209512.31,9034972.53,8642845.42,8042451.09,7155620.45,6500792.41,2013-11-18
49,Sistema,Sistema,6231556.45,5981711.7,5804586.08,5740184.55,5969661.09,6544967.18,6809946.3,7220750.94,7704488.99,7973023.41,8272854.23,8478216.9,8229079.89,8190640.01,8353579.94,8411067.88,8234483.28,8282291.55,9122726.06,9013270.09,8636638.58,7971776.06,7272195.69,6617757.68,2013-11-19
50,Sistema,Sistema,6111686.24,5845738.34,5776366.15,5768586.68,6006488.77,6545203.51,6754034.07,7058281.42,7487999.01,7706214.16,8046965.03,8264038.46,8007288.52,7870803.89,8034299.52,8132313.28,8130082.05,8280800.36,9068933.21,8948819.98,8649464.24,8065649.55,7308482.64,6584647.18,2013-11-20
51,Sistema,Sistema,6156178.29,5948872.35,5754003.51,5739136.82,5973124.28,6481757.86,6723438.13,7159835.6,7580429.3,7828561.16,8205896.28,8442112.47,8221112.76,8139174.29,8322562.44,8373912.24,8321815.84,8551140.47,9225591.59,9023385.77,8678258.01,8286320.46,7474302.43,6661969.18,2013-11-21
52,Sistema,Sistema,6071118.06,5825199.87,5677387.95,5689959.46,5892149.39,6398622.34,6696090.96,7210317.08,7737818.55,8017160.87,8236116.55,8437812.76,8391161.47,8369468.15,8305128.22,8330309.77,8314343.22,8500794.88,9188934.25,9054138.03,8739283.95,8153230.74,7420212.09,6766673.13,2013-11-22
53,Sistema,Sistema,6308991.49,6060293.38,5797389.68,5756284.5,5861086.37,5959956.64,6081531.74,6698638.27,7275043.48,7738169.78,8098880.46,8273197.24,8111239.07,7863757.73,7617268.55,7475721.76,7330365.19,7725286.91,8723809.73,8659994.92,8244383.53,7756601.43,7086557.64,6550700.03,2013-11-23
